Job_Card_Number,District,Block,Panchayat,Household_Head_Name,Gender,Age,Caste_Category,Asset_Ownership,Job_Days_Last_Year,Total_Payments_Received,Is_Eligible
UP-100000,Sitapur,Block C,Panchayat 1,Person_0,Male,31,OBC,Cycle,47,2704,No
UP-100001,Bahraich,Block C,Panchayat 2,Person_1,Female,32,General,None,71,7924,Yes
UP-100002,Chitrakoot,Block A,Panchayat 1,Person_2,Male,48,SC,None,58,1362,Yes
UP-100003,Sitapur,Block A,Panchayat 3,Person_3,Male,18,OBC,Motorbike,86,3604,Yes
UP-100004,Sitapur,Block B,Panchayat 3,Person_4,Male,20,OBC,Motorbike,92,10908,No
UP-100005,Bahraich,Block A,Panchayat 1,Person_5,Female,33,OBC,None,81,14481,No
UP-100006,Chitrakoot,Block C,Panchayat 3,Person_6,Female,40,SC,None,94,13643,Yes
UP-100007,Chitrakoot,Block C,Panchayat 1,Person_7,Male,28,SC,Motorbike,93,5286,Yes
UP-100008,Sitapur,Block A,Panchayat 1,Person_8,Male,29,SC,Cycle,38,4738,Yes
UP-100009,Banda,Block C,Panchayat 3,Person_9,Male,27,OBC,None,98,3469,Yes
UP-100010,Sitapur,Block C,Panchayat 1,Person_10,Male,49,OBC,Motorbike,17,5795,Yes
UP-100011,Sitapur,Block A,Panchayat 3,Person_11,Female,33,OBC,None,58,7150,Yes
UP-100012,Sitapur,Block A,Panchayat 2,Person_12,Female,25,SC,Cycle,16,1556,Yes
UP-100013,Sitapur,Block C,Panchayat 1,Person_13,Male,55,OBC,None,13,10017,Yes
UP-100014,Bahraich,Block C,Panchayat 2,Person_14,Male,29,ST,None,30,3808,Yes
UP-100015,Chitrakoot,Block C,Panchayat 3,Person_15,Female,41,ST,None,23,6150,Yes
UP-100016,Bahraich,Block B,Panchayat 2,Person_16,Female,45,SC,TV,98,13713,No
UP-100017,Bahraich,Block B,Panchayat 2,Person_17,Male,25,OBC,None,59,8561,Yes
UP-100018,Bahraich,Block B,Panchayat 3,Person_18,Male,45,SC,None,44,3719,Yes
UP-100019,Sitapur,Block A,Panchayat 2,Person_19,Male,53,OBC,None,97,7506,No
UP-100020,Banda,Block B,Panchayat 2,Person_20,Female,43,OBC,Cycle,2,12700,Yes
UP-100021,Chitrakoot,Block A,Panchayat 3,Person_21,Female,25,SC,Fridge,36,4741,Yes
UP-100022,Banda,Block A,Panchayat 2,Person_22,Female,45,OBC,None,42,10766,Yes
UP-100023,Bahraich,Block B,Panchayat 3,Person_23,Male,45,SC,Cycle,39,4998,Yes
UP-100024,Bahraich,Block B,Panchayat 2,Person_24,Male,54,ST,Motorbike,89,11321,No
UP-100025,Banda,Block B,Panchayat 3,Person_25,Female,58,ST,Cycle,54,3403,Yes
UP-100026,Banda,Block C,Panchayat 3,Person_26,Female,53,ST,None,86,12521,Yes
UP-100027,Banda,Block B,Panchayat 2,Person_27,Male,44,OBC,None,38,9780,Yes
UP-100028,Bahraich,Block C,Panchayat 2,Person_28,Female,34,ST,None,14,11204,Yes
UP-100029,Bahraich,Block A,Panchayat 2,Person_29,Female,26,OBC,None,3,10739,Yes
UP-100030,Chitrakoot,Block C,Panchayat 1,Person_30,Male,50,OBC,None,92,1294,No
UP-100031,Chitrakoot,Block B,Panchayat 1,Person_31,Female,37,OBC,TV,85,11177,Yes
UP-100032,Bahraich,Block A,Panchayat 1,Person_32,Male,30,OBC,None,24,6343,No
UP-100033,Banda,Block A,Panchayat 3,Person_33,Male,45,OBC,None,12,14836,Yes
UP-100034,Banda,Block A,Panchayat 2,Person_34,Male,46,ST,Cycle,81,12309,Yes
UP-100035,Chitrakoot,Block C,Panchayat 3,Person_35,Male,30,ST,None,32,10882,Yes
UP-100036,Bahraich,Block B,Panchayat 1,Person_36,Male,63,OBC,TV,15,2136,Yes
UP-100037,Chitrakoot,Block A,Panchayat 2,Person_37,Male,52,OBC,Cycle,41,14544,No
UP-100038,Chitrakoot,Block A,Panchayat 3,Person_38,Male,23,SC,None,65,3064,No
UP-100039,Sitapur,Block A,Panchayat 2,Person_39,Female,35,ST,TV,54,13647,Yes
UP-100040,Sitapur,Block C,Panchayat 3,Person_40,Male,22,ST,Cycle,98,8009,Yes
UP-100041,Sitapur,Block C,Panchayat 2,Person_41,Male,64,General,Cycle,41,13987,Yes
UP-100042,Banda,Block B,Panchayat 1,Person_42,Female,42,SC,None,33,5543,Yes
UP-100043,Bahraich,Block C,Panchayat 1,Person_43,Female,19,SC,None,29,13962,Yes
